chrom	chromStart	chromEnd	name	score	strand	counts
1	197800105	197800135	M07808:66:000000000-KDBRJ:1:1101:18411:2495	60	-	7
1	197800105	197800135	M07808:66:000000000-KDBRJ:1:1101:18411:2515	60	-	7
1	92951869	92951899	M07808:66:000000000-KDBRJ:1:1101:8818:3473	60	-	4
1	101037046	101037076	M07808:66:000000000-KDBRJ:1:1101:12097:4170	60	+	10
1	106368100	106368130	M07808:66:000000000-KDBRJ:1:1101:18738:4215	60	+	5
1	7933165	7933195	M07808:66:000000000-KDBRJ:1:1101:10981:4227	60	+	15
1	167431680	167431709	M07808:66:000000000-KDBRJ:1:1101:9390:4414	60	-	73
1	100169597	100169627	M07808:66:000000000-KDBRJ:1:1101:9426:4593	60	-	53
1	100169597	100169627	M07808:66:000000000-KDBRJ:1:1101:9438:4615	60	-	53
1	219924253	219924283	M07808:66:000000000-KDBRJ:1:1101:24867:5206	60	+	4
1	167438605	167438630	M07808:66:000000000-KDBRJ:1:1101:24106:5213	60	-	1
1	113056069	113056099	M07808:66:000000000-KDBRJ:1:1101:20233:5681	60	-	2
1	167431680	167431709	M07808:66:000000000-KDBRJ:1:1101:24686:5689	60	-	73
1	23855170	23855200	M07808:66:000000000-KDBRJ:1:1101:12545:6215	60	-	3
1	241397899	241397929	M07808:66:000000000-KDBRJ:1:1101:9886:7479	60	+	14
1	43349815	43349845	M07808:66:000000000-KDBRJ:1:1101:11869:7632	60	+	12
1	43349815	43349845	M07808:66:000000000-KDBRJ:1:1101:11858:7647	60	+	12
1	111174051	111174081	M07808:66:000000000-KDBRJ:1:1101:27171:8296	60	+	2
1	99165338	99165368	M07808:66:000000000-KDBRJ:1:1101:23022:8683	60	-	3
1	87076537	87076567	M07808:66:000000000-KDBRJ:1:1101:28104:9107	60	-	10
1	158657473	158657503	M07808:66:000000000-KDBRJ:1:1101:6535:9264	60	-	4
1	19788147	19788177	M07808:66:000000000-KDBRJ:1:1101:4791:9678	60	-	4
1	174325457	174325487	M07808:66:000000000-KDBRJ:1:1101:20772:9741	60	+	3
1	226712129	226712159	M07808:66:000000000-KDBRJ:1:1101:5893:9927	60	+	3
1	226712129	226712159	M07808:66:000000000-KDBRJ:1:1101:5888:9946	60	+	3
1	97206958	97206988	M07808:66:000000000-KDBRJ:1:1101:28499:10778	60	+	21
1	55389881	55389911	M07808:66:000000000-KDBRJ:1:1101:8703:10536	60	+	1
1	207281308	207281338	M07808:66:000000000-KDBRJ:1:1101:8188:11581	60	-	3
1	97206958	97206988	M07808:66:000000000-KDBRJ:1:1101:3495:11480	60	+	21
1	233966333	233966363	M07808:66:000000000-KDBRJ:1:1101:15331:12474	60	-	12
1	35183915	35183945	M07808:66:000000000-KDBRJ:1:1101:14310:10144	60	+	3
1	150542745	150542775	M07808:66:000000000-KDBRJ:1:1101:2575:14916	60	-	9
1	167434022	167434052	M07808:66:000000000-KDBRJ:1:1101:3944:15192	60	-	18
1	167434042	167434072	M07808:66:000000000-KDBRJ:1:1101:25066:12821	60	-	3
1	151130251	151130281	M07808:66:000000000-KDBRJ:1:1101:18199:12849	60	+	31
1	43349815	43349845	M07808:66:000000000-KDBRJ:1:1101:16482:15740	60	+	12
1	43349815	43349845	M07808:66:000000000-KDBRJ:1:1101:16488:15759	60	+	12
1	65635408	65635438	M07808:66:000000000-KDBRJ:1:1101:5720:16478	60	+	5
1	65635408	65635438	M07808:66:000000000-KDBRJ:1:1101:5704:16487	60	+	5
1	184462505	184462535	M07808:66:000000000-KDBRJ:1:1101:23778:16629	60	+	3
1	167479362	167479392	M07808:66:000000000-KDBRJ:1:1101:22069:16856	60	-	5
1	151130251	151130281	M07808:66:000000000-KDBRJ:1:1101:4432:17387	60	+	31
1	169390024	169390054	M07808:66:000000000-KDBRJ:1:1101:7146:17818	60	+	3
1	7977283	7977313	M07808:66:000000000-KDBRJ:1:1101:2064:18259	60	+	25
1	223701440	223701470	M07808:66:000000000-KDBRJ:1:1101:7285:18774	60	+	6
1	167431680	167431709	M07808:66:000000000-KDBRJ:1:1101:3639:18780	60	-	73
1	225345196	225345226	M07808:66:000000000-KDBRJ:1:1101:27594:19179	60	+	1
1	192805826	192805856	M07808:66:000000000-KDBRJ:1:1101:4305:19666	60	+	7
1	192805826	192805856	M07808:66:000000000-KDBRJ:1:1101:4297:19681	60	+	7
1	59095462	59095492	M07808:66:000000000-KDBRJ:1:1101:15488:19392	60	-	14
1	170585311	170585341	M07808:66:000000000-KDBRJ:1:1101:4978:20755	60	+	6
1	170585311	170585341	M07808:66:000000000-KDBRJ:1:1101:4965:20769	60	+	6
1	154342508	154342538	M07808:66:000000000-KDBRJ:1:1101:10306:20847	60	-	20
1	8481451	8481481	M07808:66:000000000-KDBRJ:1:1101:13678:21088	60	-	2
1	8481451	8481481	M07808:66:000000000-KDBRJ:1:1101:13661:21096	60	-	2
1	57834435	57834465	M07808:66:000000000-KDBRJ:1:1101:16121:21218	60	+	5
1	202469923	202469953	M07808:66:000000000-KDBRJ:1:1101:4916:21484	60	+	32
1	202469923	202469953	M07808:66:000000000-KDBRJ:1:1101:4897:21486	60	+	32
1	72079799	72079829	M07808:66:000000000-KDBRJ:1:1101:18208:21619	60	+	7
1	179838041	179838071	M07808:66:000000000-KDBRJ:1:1101:13727:21677	60	+	3
1	168952667	168952697	M07808:66:000000000-KDBRJ:1:1101:4865:21790	60	+	4
1	218913300	218913330	M07808:66:000000000-KDBRJ:1:1101:24738:22175	60	-	3
1	12208628	12208658	M07808:66:000000000-KDBRJ:1:1101:27311:22736	60	-	13
1	12208628	12208658	M07808:66:000000000-KDBRJ:1:1101:27327:22743	60	-	13
1	161935742	161935772	M07808:66:000000000-KDBRJ:1:1101:6868:23353	60	-	20
1	161935742	161935772	M07808:66:000000000-KDBRJ:1:1101:6851:23359	60	-	20
1	108791811	108791841	M07808:66:000000000-KDBRJ:1:1101:10484:22835	60	+	2
1	46308304	46308334	M07808:66:000000000-KDBRJ:1:1101:8414:24008	60	+	6
1	46308304	46308334	M07808:66:000000000-KDBRJ:1:1101:8411:24025	60	+	6
1	150726691	150726721	M07808:66:000000000-KDBRJ:1:1101:7919:23778	60	-	7
1	150726691	150726721	M07808:66:000000000-KDBRJ:1:1101:7918:23797	60	-	7
1	161935742	161935772	M07808:66:000000000-KDBRJ:1:1101:7212:25213	60	-	20
1	151130251	151130281	M07808:66:000000000-KDBRJ:1:1101:14705:26298	60	+	31
1	151130251	151130281	M07808:66:000000000-KDBRJ:1:1101:14721:26310	60	+	31
1	214613156	214613186	M07808:66:000000000-KDBRJ:1:1101:17728:27748	60	-	12
1	233966333	233966363	M07808:66:000000000-KDBRJ:1:1101:19868:28453	60	-	12
1	47740992	47741022	M07808:66:000000000-KDBRJ:1:1102:11725:4498	60	-	3
1	72557226	72557256	M07808:66:000000000-KDBRJ:1:1102:14882:6552	60	-	2
1	167431686	167431716	M07808:66:000000000-KDBRJ:1:1102:9380:6566	60	+	27
1	151130251	151130281	M07808:66:000000000-KDBRJ:1:1102:15469:7153	60	+	31
1	174723820	174723850	M07808:66:000000000-KDBRJ:1:1102:23389:7196	60	-	2
1	234404043	234404073	M07808:66:000000000-KDBRJ:1:1102:9643:6797	60	-	6
1	116855666	116855696	M07808:66:000000000-KDBRJ:1:1102:10043:7716	60	-	11
1	63478087	63478117	M07808:66:000000000-KDBRJ:1:1102:16529:7860	60	+	2
1	82479623	82479653	M07808:66:000000000-KDBRJ:1:1102:25409:7889	60	+	18
1	154945770	154945800	M07808:66:000000000-KDBRJ:1:1102:10694:7946	60	-	5
1	156746225	156746255	M07808:66:000000000-KDBRJ:1:1102:6234:8266	60	+	1
1	169388061	169388091	M07808:66:000000000-KDBRJ:1:1102:4860:8548	60	+	15
1	151130251	151130281	M07808:66:000000000-KDBRJ:1:1102:6870:8647	60	+	31
1	151130251	151130281	M07808:66:000000000-KDBRJ:1:1102:6887:8659	60	+	31
1	193499820	193499850	M07808:66:000000000-KDBRJ:1:1102:4977:8811	60	-	5
1	193499820	193499850	M07808:66:000000000-KDBRJ:1:1102:5005:8821	60	-	5
1	193499820	193499850	M07808:66:000000000-KDBRJ:1:1102:4988:8829	60	-	5
1	7933165	7933195	M07808:66:000000000-KDBRJ:1:1102:13467:8930	60	+	15
1	154866349	154866379	M07808:66:000000000-KDBRJ:1:1102:10544:9580	60	+	5
1	7933165	7933195	M07808:66:000000000-KDBRJ:1:1102:12367:9687	60	+	15
1	82479623	82479653	M07808:66:000000000-KDBRJ:1:1102:16616:9701	60	+	18
1	82479623	82479653	M07808:66:000000000-KDBRJ:1:1102:10907:9935	60	+	18
1	234158120	234158150	M07808:66:000000000-KDBRJ:1:1102:6301:10203	60	-	4
1	226614294	226614324	M07808:66:000000000-KDBRJ:1:1102:21242:10459	60	-	13
1	31030920	31030950	M07808:66:000000000-KDBRJ:1:1102:3589:10562	60	-	2
1	31030920	31030950	M07808:66:000000000-KDBRJ:1:1102:3603:10579	60	-	2
1	95962917	95962947	M07808:66:000000000-KDBRJ:1:1102:14655:10837	60	+	17
1	5075763	5075793	M07808:66:000000000-KDBRJ:1:1102:22177:10935	60	+	7
1	100419751	100419781	M07808:66:000000000-KDBRJ:1:1102:28080:11381	60	-	11
1	202472209	202472239	M07808:66:000000000-KDBRJ:1:1102:17589:12491	60	+	11
1	202472209	202472239	M07808:66:000000000-KDBRJ:1:1102:17581:12508	60	+	11
1	7920840	7920870	M07808:66:000000000-KDBRJ:1:1102:26537:12825	60	-	5
1	167438640	167439363	M07808:66:000000000-KDBRJ:1:1102:4056:12893	60	-	1
1	161935742	161935772	M07808:66:000000000-KDBRJ:1:1102:27564:12996	60	-	20
1	41908550	41908580	M07808:66:000000000-KDBRJ:1:1102:5916:13052	60	+	3
1	38882817	38882847	M07808:66:000000000-KDBRJ:1:1102:24889:13597	60	+	25
1	214613156	214613186	M07808:66:000000000-KDBRJ:1:1102:5928:14426	60	-	12
1	109877948	109877978	M07808:66:000000000-KDBRJ:1:1102:3579:14781	60	+	5
1	202472209	202472239	M07808:66:000000000-KDBRJ:1:1102:22871:14794	60	+	11
1	177958606	177958636	M07808:66:000000000-KDBRJ:1:1102:7471:14976	60	+	2
1	205620581	205620611	M07808:66:000000000-KDBRJ:1:1102:13002:14990	60	-	8
1	177958606	177958636	M07808:66:000000000-KDBRJ:1:1102:7481:14995	60	+	2
1	180005680	180005710	M07808:66:000000000-KDBRJ:1:1102:24309:16026	60	-	3
1	116855666	116855696	M07808:66:000000000-KDBRJ:1:1102:4185:17415	60	-	11
1	167434022	167434052	M07808:66:000000000-KDBRJ:1:1102:7282:17428	60	-	18
1	167434022	167434052	M07808:66:000000000-KDBRJ:1:1102:7295:17440	60	-	18
1	167431686	167431716	M07808:66:000000000-KDBRJ:1:1102:8163:17714	60	+	27
1	93152636	93152666	M07808:66:000000000-KDBRJ:1:1102:4659:18000	60	+	6
