chrom	chromStart	chromEnd	name	score	strand	counts
3	63919519	63919549	M07808:66:000000000-KDBRJ:1:1101:12832:2345	60	-	2
14	30729449	30729479	M07808:66:000000000-KDBRJ:1:1101:10733:2386	60	-	6
9	115195483	115195513	M07808:66:000000000-KDBRJ:1:1101:16562:2463	60	-	7
19	4137462	4137492	M07808:66:000000000-KDBRJ:1:1101:17366:2818	60	-	6
7	100764207	100764237	M07808:66:000000000-KDBRJ:1:1101:17523:2819	60	-	22
17	63941417	63941447	M07808:66:000000000-KDBRJ:1:1101:21071:2828	60	+	6
7	145100147	145100177	M07808:66:000000000-KDBRJ:1:1101:21963:3185	60	+	6
3	137013471	137013501	M07808:66:000000000-KDBRJ:1:1101:20485:3530	60	+	2
4	16340819	16340849	M07808:66:000000000-KDBRJ:1:1101:9297:3607	60	-	5
7	100764207	100764237	M07808:66:000000000-KDBRJ:1:1101:12961:3016	60	-	22
22	16693605	16693634	M07808:66:000000000-KDBRJ:1:1101:19110:3020	60	+	16
22	16693605	16693634	M07808:66:000000000-KDBRJ:1:1101:19092:3021	60	+	16
8	55528515	55528545	M07808:66:000000000-KDBRJ:1:1101:14458:3750	60	-	12
14	98830980	98831010	M07808:66:000000000-KDBRJ:1:1101:22345:3861	60	+	1
6	73521018	73521048	M07808:66:000000000-KDBRJ:1:1101:7663:4092	60	-	125
6	73521018	73521048	M07808:66:000000000-KDBRJ:1:1101:7675:4110	60	-	125
20	18077741	18077771	M07808:66:000000000-KDBRJ:1:1101:20192:4231	60	-	11
6	33489639	33489669	M07808:66:000000000-KDBRJ:1:1101:8637:4461	60	-	21
17	27563569	27563599	M07808:66:000000000-KDBRJ:1:1101:7318:4499	60	+	7
17	27563569	27563599	M07808:66:000000000-KDBRJ:1:1101:7338:4512	60	+	7
5	18741577	18741607	M07808:66:000000000-KDBRJ:1:1101:23673:4708	60	+	27
5	18741577	18741607	M07808:66:000000000-KDBRJ:1:1101:23655:4725	60	+	27
5	42999078	42999108	M07808:66:000000000-KDBRJ:1:1101:10321:4748	60	+	14
11	74809248	74809278	M07808:66:000000000-KDBRJ:1:1101:22296:4856	60	+	9
15	34934463	34934493	M07808:66:000000000-KDBRJ:1:1101:10045:4908	60	-	12
16	68055230	68055260	M07808:66:000000000-KDBRJ:1:1101:14199:4916	60	-	11
1	145987003	145987033	M07808:66:000000000-KDBRJ:1:1101:18208:5019	60	-	27
1	199316999	199317029	M07808:66:000000000-KDBRJ:1:1101:16490:5161	60	-	4
5	18741577	18741607	M07808:66:000000000-KDBRJ:1:1101:19592:5211	60	+	27
8	73604130	73604160	M07808:66:000000000-KDBRJ:1:1101:18286:5223	60	+	14
5	18741577	18741607	M07808:66:000000000-KDBRJ:1:1101:19604:5225	60	+	27
2	229896954	229896984	M07808:66:000000000-KDBRJ:1:1101:12968:5276	60	+	6
1	226824871	226824901	M07808:66:000000000-KDBRJ:1:1101:11963:5321	60	-	14
3	117354226	117354256	M07808:66:000000000-KDBRJ:1:1101:6372:5357	60	+	11
3	150633793	150633823	M07808:66:000000000-KDBRJ:1:1101:12068:5424	60	+	8
3	150633793	150633823	M07808:66:000000000-KDBRJ:1:1101:12079:5444	60	+	8
22	31016670	31016698	M07808:66:000000000-KDBRJ:1:1101:13339:5470	60	+	1
5	157151475	157151505	M07808:66:000000000-KDBRJ:1:1101:23676:3970	60	+	8
5	157151475	157151505	M07808:66:000000000-KDBRJ:1:1101:23687:3985	60	+	8
6	32887063	32887093	M07808:66:000000000-KDBRJ:1:1101:11254:4039	60	+	16
2	86789406	86789436	M07808:66:000000000-KDBRJ:1:1101:8643:5722	60	+	255
17	11785568	11785598	M07808:66:000000000-KDBRJ:1:1101:9652:5893	60	+	6
17	11785568	11785598	M07808:66:000000000-KDBRJ:1:1101:9659:5911	60	+	6
3	17008959	17008989	M07808:66:000000000-KDBRJ:1:1101:22731:5962	60	+	2
4	136011902	136011932	M07808:66:000000000-KDBRJ:1:1101:8504:6112	60	-	2
1	44893562	44893592	M07808:66:000000000-KDBRJ:1:1101:9168:6274	60	-	6
13	51504261	51504291	M07808:66:000000000-KDBRJ:1:1101:24281:6392	60	-	7
2	216306584	216306614	M07808:66:000000000-KDBRJ:1:1101:11013:6432	60	+	12
10	35133058	35133088	M07808:66:000000000-KDBRJ:1:1101:12731:6448	60	+	20
10	35133058	35133088	M07808:66:000000000-KDBRJ:1:1101:12726:6465	60	+	20
9	128135180	128135210	M07808:66:000000000-KDBRJ:1:1101:18944:6501	60	+	2
16	58456392	58456422	M07808:66:000000000-KDBRJ:1:1101:14279:6567	60	-	8
2	44246412	44246442	M07808:66:000000000-KDBRJ:1:1101:12868:5581	60	+	1
5	85447862	85447892	M07808:66:000000000-KDBRJ:1:1101:20570:5607	60	-	34
16	11243805	11243835	M07808:66:000000000-KDBRJ:1:1101:21248:5648	60	+	4
16	27764135	27764165	M07808:66:000000000-KDBRJ:1:1101:19357:4295	60	+	44
6	7192579	7192609	M07808:66:000000000-KDBRJ:1:1101:9287:6657	60	+	1
2	86789358	86789388	M07808:66:000000000-KDBRJ:1:1101:14884:6663	60	-	167
2	86789358	86789388	M07808:66:000000000-KDBRJ:1:1101:14871:6677	60	-	167
